Year,CAP_Round,College_Code,College_Name,Location,College_Type,Branch_Code,Branch_Name,Category,Seat_Type,Gender,Rank,Percentile
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GOPENS,State Level,Any,45820,80.7328826
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GSCS,State Level,Any,54803,76.6166542
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GSTS,State Level,Any,85528,58.7429854
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GVJS,State Level,Any,53198,76.9213416
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT1S,State Level,Any,55202,76.2843676
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT2S,State Level,Any,47207,79.8081214
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GNT3S,State Level,Any,58799,74.1935484
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,GOBCS,State Level,Any,55212,76.2843676
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LOPENS,State Level,Ladies,39555,83.4053417
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LSCS,State Level,Ladies,58069,75.0737739
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LSTS,State Level,Ladies,81275,61.4332053
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LVJS,State Level,Ladies,55889,75.867353
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LNT1S,State Level,Ladies,71604,67.3938217
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LNT2S,State Level,Ladies,59895,73.642653
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LNT3S,State Level,Ladies,85506,58.7429854
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,LOBCS,State Level,Ladies,50933,78.3308876
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,PWDOPENS,State Level,Any,66222,70.5106049
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,DEFOPENS,State Level,Any,114710,36.1619626
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,TFWS,Special,Any,25437,89.690179
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100219110,Civil Engineering,EWS,Special,Any,51497,78.067557
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GOPENS,State Level,Any,6839,97.3642653
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GSCS,State Level,Any,14995,94.0441452
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GSTS,State Level,Any,42063,82.3107244
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GVJS,State Level,Any,10351,95.9541871
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT1S,State Level,Any,13430,94.6808113
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT2S,State Level,Any,10052,96.0633178
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GNT3S,State Level,Any,15513,93.8260094
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,GOBCS,State Level,Any,7626,97.0482604
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LOPENS,State Level,Ladies,7359,97.1523959
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LSCS,State Level,Ladies,18093,92.733306
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LSTS,State Level,Ladies,46043,80.6210251
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,LOBCS,State Level,Ladies,8159,96.8581856
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,PWDOPENS,State Level,Any,41373,82.4643661
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,DEFOPENS,State Level,Any,14766,94.1664477
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,TFWS,Special,Any,6790,97.3792778
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,PWDROBC,State Level,Any,45737,80.8641005
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,DEFROBCS,State Level,Any,16792,93.2969235
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224210,Computer Science and Engineering,EWS,Special,Any,10297,95.9738402
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GOPENS,State Level,Any,10303,95.9738402
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GSCS,State Level,Any,18667,92.4862529
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GSTS,State Level,Any,43516,81.8534982
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GVJS,State Level,Any,23597,90.4575998
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GNT1S,State Level,Any,16268,93.521357
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GNT2S,State Level,Any,12552,95.0744473
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GNT3S,State Level,Any,16999,93.2108027
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,GOBCS,State Level,Any,11044,95.6795422
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LOPENS,State Level,Ladies,9567,96.2787373
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LSCS,State Level,Ladies,21001,91.4895289
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LSTS,State Level,Ladies,55122,76.2843676
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LNT1S,State Level,Ladies,16115,93.5868331
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LNT2S,State Level,Ladies,12233,95.2175544
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,LOBCS,State Level,Ladies,10354,95.9541871
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,PWDOPENS,State Level,Any,66253,70.5106049
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,DEFOPENS,State Level,Any,30013,87.6984872
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,TFWS,Special,Any,9138,96.4414768
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,PWDRSCS,State Level,Any,71173,67.711928
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,DEFROBCS,State Level,Any,30456,87.4817577
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100224610,Information Technology,EWS,Special,Any,12526,95.0827713
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GOPENS,State Level,Any,31193,87.2113119
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GSCS,State Level,Any,45777,80.7328826
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GSTS,State Level,Any,92626,54.0043616
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GVJS,State Level,Any,39357,83.4300164
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GNT1S,State Level,Any,42146,82.251586
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GNT2S,State Level,Any,47720,79.7807688
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,GOBCS,State Level,Any,34759,85.4752553
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LOPENS,State Level,Ladies,26636,89.1600241
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LSCS,State Level,Ladies,34812,85.4752553
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LSTS,State Level,Ladies,121868,29.2444305
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LVJS,State Level,Ladies,32994,86.3550668
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LNT3S,State Level,Ladies,87211,58.0840122
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,LOBCS,State Level,Ladies,31414,87.0556299
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,DEFOPENS,State Level,Any,92685,54.0043616
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,TFWS,Special,Any,24140,90.1850615
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100229310,Electrical Engineering,EWS,Special,Any,37774,84.2884307
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GOPENS,State Level,Any,16356,93.495874
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GSCS,State Level,Any,27969,88.5960295
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GSTS,State Level,Any,89313,56.656397
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GVJS,State Level,Any,30699,87.3774785
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GNT1S,State Level,Any,17854,92.8593873
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GNT2S,State Level,Any,21528,91.2629338
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GNT3S,State Level,Any,30062,87.6984872
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,GOBCS,State Level,Any,17589,93.0014674
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LOPENS,State Level,Ladies,14555,94.2498036
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LSCS,State Level,Ladies,25655,89.5231349
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LSTS,State Level,Ladies,81186,61.6397637
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LVJS,State Level,Ladies,41670,82.4443082
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LNT2S,State Level,Ladies,22022,91.0376802
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,LOBCS,State Level,Ladies,16887,93.2464234
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,PWDOPENS,State Level,Any,129864,20.1485207
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,DEFOPENS,State Level,Any,50151,78.4161664
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,TFWS,Special,Any,14528,94.2498036
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,DEFROBCS,State Level,Any,62434,72.394012
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100237210,Electronics and Telecommunication Engg,EWS,Special,Any,20602,91.7108778
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,GOPENS,State Level,Any,52017,77.9969992
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,GSCS,State Level,Any,70454,68.3823818
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,GSTS,State Level,Any,113354,37.6936381
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,GVJS,State Level,Any,110749,39.9066862
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,GNT2S,State Level,Any,64948,71.2687819
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,GOBCS,State Level,Any,60742,73.3779089
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,LOPENS,State Level,Ladies,49557,78.8754662
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,LSCS,State Level,Ladies,73669,66.4309764
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,LSTS,State Level,Ladies,108341,42.4233825
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,LNT1S,State Level,Ladies,73493,66.4309764
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,LOBCS,State Level,Ladies,60133,73.4246062
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,TFWS,Special,Any,36146,85.1537884
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100246610,Instrumentation Engineering,EWS,Special,Any,51922,77.9969992
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GOPENS,State Level,Any,38651,84.0516274
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GSCS,State Level,Any,61419,73.1851907
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GSTS,State Level,Any,117713,33.2472877
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GVJS,State Level,Any,56910,75.1725431
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GNT1S,State Level,Any,47365,79.8081214
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GNT2S,State Level,Any,50166,78.4161664
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GNT3S,State Level,Any,56879,75.1725431
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,GOBCS,State Level,Any,43574,81.8534982
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,LOPENS,State Level,Ladies,41931,82.3107244
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,LSCS,State Level,Ladies,59704,73.642653
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,LSTS,State Level,Ladies,106253,43.5071268
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,LVJS,State Level,Ladies,72354,66.9527897
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,LNT2S,State Level,Ladies,49939,78.5775598
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,LOBCS,State Level,Ladies,55239,76.2843676
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,TFWS,Special,Any,30370,87.5056399
2023-24,CAP Round III,01002,"Government College of Engineering, Amravati",Amravati,Government,100261210,Mechanical Engineering,EWS,Special,Any,42232,82.251586
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GOPENH,Home University,Any,80967,61.6397637
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GSCH,Home University,Any,84577,59.8623853
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GVJH,Home University,Any,141262,3.8552498
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GNT1H,Home University,Any,131711,17.8500207
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GOBCH,Home University,Any,85735,58.7429854
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,LOPENH,Home University,Ladies,76696,64.4512569
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,LOBCH,Home University,Ladies,85239,58.8704519
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GOPENO,Other than Home University,Any,37258,84.4681938
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GSCO,Other than Home University,Any,49613,78.7120349
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,GNT3O,Other than Home University,Any,104503,45.6445719
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,TFWS,Special,Any,63559,71.8303504
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,EWS,Special,Any,109617,40.6521983
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,GOPENH,Home University,Any,116850,34.1365462
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,LOPENH,Home University,Ladies,73995,66.3914919
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,LOPENH,Home University,Ladies,134873,13.5034179
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,GSCH,Home University,Any,124862,26.0127532
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,GOBCH,Home University,Any,127354,22.9499823
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,GOBCO,Other than Home University,Any,103504,45.9664342
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,LOPENO,Other than Home University,Ladies,123353,27.3241113
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,EWS,Special,Any,99207,49.4761567
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552410,Paper and Pulp Technology,LOPENH,Home University,Ladies,121366,29.4111028
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552410,Paper and Pulp Technology,GOPENH,Home University,Any,137370,9.7383065
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,GOPENH,Home University,Any,96082,51.4762755
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,GSCH,Home University,Any,106203,43.5071268
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,GOBCH,Home University,Any,107265,42.9215913
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,LOPENH,Home University,Ladies,39830,83.3890161
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,LSCH,Home University,Ladies,91096,55.2985075
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,GSTH,Home University,Any,88877,56.7366842
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,LNT2H,Home University,Ladies,90395,55.7163295
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,GOPENO,Other than Home University,Any,51738,78.0359147
2023-24,CAP Round III,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,GOBCO,Other than Home University,Any,86378,58.5474069
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GOPENH,Home University,Any,74562,65.9622938
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GSCH,Home University,Any,101880,47.3478734
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GVJH,Home University,Any,80305,62.3996115
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GNT2H,Home University,Any,102191,46.8567142
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GNT3H,Home University,Any,117501,33.3408586
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GOBCH,Home University,Any,86831,58.1382561
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LOPENH,Home University,Ladies,82581,60.9799222
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LSCH,Home University,Ladies,99853,49.0455617
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LNT1H,Home University,Ladies,94340,52.7422372
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LOBCH,Home University,Ladies,108125,42.5530244
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GSTH,Home University,Any,124766,26.0127532
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LSTH,Home University,Ladies,111381,39.4392454
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GOPENO,Other than Home University,Any,59087,74.1356658
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GSCO,Other than Home University,Any,82736,60.9799222
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GNT2O,Other than Home University,Any,68148,69.597699
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,GOBCO,Other than Home University,Any,86167,58.5474069
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LOPENO,Other than Home University,Ladies,68951,69.0354573
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LSTO,Other than Home University,Ladies,123039,27.6545345
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,LOBCO,Other than Home University,Ladies,87157,58.1195238
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,TFWS,Special,Any,60201,73.4109953
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,EWS,Special,Any,96525,51.0567213
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,GOPENH,Home University,Any,31195,87.2113119
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,GSCH,Home University,Any,45916,80.7328826
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,GSTH,Home University,Any,69281,68.9337823
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,GVJH,Home University,Any,31317,87.0718315
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,GNT1H,Home University,Any,32367,86.6965956
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,GNT2H,Home University,Any,40791,83.0041152
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,GOBCH,Home University,Any,32855,86.3770498
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,LOPENH,Home University,Ladies,28640,88.2793393
2023-24,CAP Round III,01012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,LSCH,Home University,Ladies,42392,82.2266135
